"","deltadelta_a_glu_S16","deltadelta_a_noglu_S35","deltadelta_b_glu_S53","deltadelta_b_noglu_S36","deltadelta_c_glu_S43","deltadelta_d_glu_S44","deltadelta_d_noglu_S5","tbsP_a_glu_S33","tbsP_a_noglu_S24","tbsP_b_glu_S2","tbsP_b_noglu_S30","tbsP_c_glu_S51","tbsP_c_noglu_S15","tbsP_d_glu_S52","tbsP_d_noglu_S31","trmB_a_glu_S4","tbsP_e_noglu_S50","tbsP_e_glu_S3","trmB_a_noglu_S32","trmB_b_noglu_S25","trmB_c_glu_S34","trmB_c_noglu_S1","WT_a_glu_S39","WT_a_noglu_S37","WT_b_glu_S13","WT_b_noglu_S17","WT_c_glu_S18","WT_c_noglu_S6","WT_d_glu_S19","WT_d_noglu_s38","dpyrE2_4hpfe_2_S2","dpyrE2_4hpfe_4_S16","dtbsP_4hpfe_2_S38","dtbsP_4hpfe_5_S43","dtbsP_4hpfe_6_S49","dtrmB_4hmfe_1_S24","dtrmB_4hmfe_5_S30","dtrmB_4hmfe_6_S36","dtrmB_4hpfe_1_S21","dtrmB_4hpfe_5_S27","dtrmB_4hpfe_6_S33"
"HVO_RS15255",4707.62158548991,4091.30266135181,4741.85406835148,2838.31588746994,5845.29921556318,4850.71771550197,2525.02130372642,6105.27351859121,4288.99429275321,5128.44613829856,3890.14049216486,4664.51877041864,3123.218869791,4890.54360152928,2738.39821159233,5551.26885274145,3288.23426862822,5554.53188046423,3069.78914320207,3503.88718467241,4270.0140189121,3353.87544576556,4917.89764834046,2394.65441943167,3652.22994804189,2102.58374329305,5491.88759512885,4840.0819472999,4552.73825921541,2968.63489534654,2160.01088978441,1982.65544747986,2335.10315397023,2156.66277278177,2235.15266001011,1602.21116490933,1414.83291311729,1297.8360387501,2892.31957303675,2544.98950698236,2692.93143617194
"HVO_RS15270",958.290556366678,2047.24887173852,1008.88748272443,1806.53013756059,894.281793844688,970.750895068111,1832.23224448044,923.536820476549,1379.1659905504,972.736663523725,1326.52300307537,1074.69518532702,1726.65054299403,1075.28510733522,1558.60765736,777.360547747978,1501.48349785597,1104.74188393579,2850.79412890072,3026.44069011668,1047.51903974092,2609.04270083031,1043.41370543154,2141.29507812661,1508.8636828371,1777.89802259195,987.913862792315,1122.99587395138,1093.55889674161,1290.98198179986,849.395586610875,812.728194564112,897.838111914134,793.421086976572,798.079419529113,2057.28566093167,1894.93045690002,1734.66865667087,1298.70820044199,875.558075120309,836.547636367548
"HVO_RS15275",5261.3689374835,2990.59686921148,3718.04466723014,2418.36098575245,3724.0855848131,3138.99741981878,2508.86572895662,2584.91004698974,3497.75962088366,3083.0806115074,3243.27421875507,3912.85335177951,3299.08944692487,3482.15386855217,2753.64720515044,2674.52674728455,3153.99084607938,3435.08214278125,1968.06092147461,2672.98776280378,3241.64675811716,2283.87000532716,4612.09490275142,2557.36906971263,4143.76267479226,2437.76738567964,4421.92951599163,2321.66532431459,4429.90265743585,2323.58937787028,2554.44766096243,2600.73022260516,1976.69197219805,2129.61432663485,2217.91838683091,2500.72885993107,2369.57234677613,2815.1435377116,2656.96415679945,2148.05282861149,2072.57026762971
"HVO_RS15280",1145.94938120895,782.795120680354,823.192498229549,628.1222021378,775.80369631622,668.087164489003,558.79282144943,604.76765986045,724.513494182141,646.874730379187,724.370988196215,889.108372253928,837.76772457362,774.739580440282,613.170056757485,552.789722843007,713.532974199777,708.105480672499,590.418276442384,582.912287382963,680.304495602805,520.957302743279,927.724473967732,597.36337363421,1033.28213832502,514.398162588814,899.103113140609,430.834895037952,956.001425085854,472.201829091737,331.827759879924,292.983497299655,385.563544027642,373.268556827615,483.88536233908,452.166671766606,416.448248205475,476.928365459387,320.423638973679,359.923290355579,365.010485531158
"HVO_RS15285",4702.23793067887,3377.20180636381,2424.81173949792,2345.95496821495,3589.65851261734,3060.04166401554,2659.01754152297,3714.00828879817,3999.34588608668,4476.72227200949,2754.39832548684,2939.10496854246,4518.92083906515,2563.82031415098,1704.67696407448,4445.68940705543,2066.91095696111,4735.30331748689,3302.2904579449,4996.08563183613,1801.09990696312,4776.29317923618,3441.20198048396,2868.68157413145,2474.79638504488,2213.56177253962,4733.19004810428,3897.69367571806,3544.75023112921,2900.03198810114,1709.2260084381,1683.65174133158,3509.89536089013,3182.70049662193,3670.90018716963,2992.15115915008,2916.95628874054,2547.13511995345,2975.96999206085,3218.88843360557,3531.04564114691
"HVO_RS15290",2209.60575316329,2234.16117606424,1813.84208069109,1980.30457965059,1760.08327578349,1812.94562363607,2028.95012550091,1339.6249148633,2478.88798984529,1843.64147293978,2449.59612983638,2060.86779035976,2388.54769043378,2325.05359000667,2380.44815228102,1503.91321655818,2438.99870424321,2254.90634166042,1913.07098396282,2027.36608509111,1691.18534953402,1974.01958343409,2081.66929226278,2617.55120063846,3490.94577207692,2473.01040848092,2310.77112427107,1537.68707268815,2275.44901274044,2050.95964258336,1404.52882012068,1408.72887057779,1676.20582990421,1509.30329499862,1655.81593852469,1980.22831815472,2051.32586888985,1952.02981438024,3224.08564170861,1540.52273567086,1521.1381178144
"HVO_RS15295",6081.99174939622,1774.86812056301,5772.29543320478,2117.87601297183,6003.64974975988,5951.03703034977,1951.97356336246,6992.06747631762,4509.56665663749,6711.20409928632,4694.9971457162,5917.81214405867,3684.61854458284,6646.23038780721,4316.26775555204,6538.97401929182,4208.23946337865,7390.90164935603,1556.11875800909,1418.79995620963,5403.29972088935,1538.18602296913,4974.63695294373,2855.30776725904,6484.45097213001,3183.86967689811,6089.03415945366,4489.96553376789,5396.94548492885,3928.18464993485,3706.45346884745,3642.22635341694,7745.6638727431,6933.41836232936,5855.67574096361,2227.39337989209,2427.76598844677,1787.42621922169,5579.05760779393,4502.87010061873,4514.85072661287
"HVO_RS15300",34739.9554021532,16394.7651550656,38817.712718629,24040.607972888,43310.5799215126,42117.834454634,22157.8459607396,53450.934798011,38887.457221319,42717.9778845758,36804.306196562,31535.7809729052,32968.3691736551,37561.5120723806,34369.626322752,48060.1888448214,33985.4734194008,40803.2602579955,14447.8825294136,12879.653645672,35328.3706670015,14144.1610169646,34986.7815917299,23497.7786748203,21192.031780364,26400.7733358994,39106.3334299681,45545.4031897264,33663.8557641036,36863.8167556598,30592.8498872944,30383.9940590005,51716.1993092476,54385.4090527578,39523.4912531918,15450.7241828416,16959.8094443854,17958.6742922982,23070.5020061049,31915.7510589773,34326.6513260032
"HVO_RS15305",70524.3398376498,30337.3047790203,77514.3920991498,47501.0627302567,85900.0383455682,82119.0473017732,44593.1876763487,101774.75066686,80055.9937645159,84031.6460096478,73866.4646173173,62176.2414626587,59816.788806061,73593.5813523403,67659.7844173119,94100.2564230768,66267.3686233043,81171.7615954407,24401.0612190477,25981.6405843311,72878.3476917364,28587.9576067489,69028.1537314339,45261.4203918518,43007.3412370762,54010.3073687276,78576.3680251764,92172.4340316324,67354.3949173578,65740.2950248906,64034.4097886523,63555.3448149135,99819.3242810343,106798.084766533,77767.6691511583,36327.4484268824,35896.3841542702,37297.4864209257,59510.8930189434,69600.4853534413,71753.5419261101
"HVO_RS15310",12724.6526926859,32601.8192352741,10864.8145838837,32627.9616528353,10910.2378849052,10092.1651969021,34938.8062595039,9962.28105701155,24215.0777703411,10814.5429062344,20786.1683156058,11167.0458527369,24141.0523735718,10665.1919613412,24864.6878644027,7341.73850650868,22843.2693478477,11739.3019722487,32792.3327361978,28871.973393164,8131.17919162961,31913.7422175626,8262.5691235903,16677.1371698924,10174.4911299219,18353.3665124254,10011.931844069,9486.43953898555,9352.06783885719,12037.5828544499,5396.89677389612,5448.28900800386,6116.52213741504,5602.63481190048,7048.81773029285,12095.0949917248,11782.3938870012,10262.401067385,5825.75545372941,5382.25714691304,4768.63484101651
