Label,Info,variable,strain,name,media,condition,techrep,biorep
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmB_6,AKS154,trmB,HvCA_ura,glu05,3,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmB_7,AKS154,trmB,HvCA_ura,glu05,1,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmB_8,AKS154,trmB,HvCA_ura,glu05,2,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmB_9,AKS154,trmB,HvCA_ura,glu05,3,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmBtbsP_1,AKS181,trmBtbsP,HvCA_ura,glu05,1,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmBtbsP_2,AKS181,trmBtbsP,HvCA_ura,glu05,2,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmBtbsP_3,AKS181,trmBtbsP,HvCA_ura,glu05,3,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmBtbsP_4,AKS181,trmBtbsP,HvCA_ura,glu05,1,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmBtbsP_5,AKS181,trmBtbsP,HvCA_ura,glu05,2,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmBtbsP_6,AKS181,trmBtbsP,HvCA_ura,glu05,3,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmBtbsP_7,AKS181,trmBtbsP,HvCA_ura,glu05,1,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmBtbsP_8,AKS181,trmBtbsP,HvCA_ura,glu05,2,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmBtbsP_9,AKS181,trmBtbsP,HvCA_ura,glu05,3,3
