date,filename,condition,plate,WT,strain,template_colony,area_label,area_in,notes
9/12/2022,tbsP2glu_analyzed,tbsP+glu,5,H26,tbsP,3,5,0.494,
9/12/2022,tbsP2glu_analyzed,tbsP+glu,5,H26,WT,1,3,0.128,
9/12/2022,tbsP2glu_analyzed,tbsP+glu,5,H26,WT,2,6,0.345,
9/12/2022,tbsP2glu_analyzed,tbsP+glu,5,H26,WT,3,4,0.063,
9/12/2022,tbsP2noglu_analyzed,tbsP+noglu,5,H26,tbsP,1,1,0.51,
9/12/2022,tbsP2noglu_analyzed,tbsP+noglu,5,H26,tbsP,2,2,0.612,
9/12/2022,tbsP2noglu_analyzed,tbsP+noglu,5,H26,tbsP,3,5,0.671,
9/12/2022,tbsP2noglu_analyzed,tbsP+noglu,5,H26,WT,1,4,0.072,
9/12/2022,tbsP2noglu_analyzed,tbsP+noglu,5,H26,WT,2,6,0.198,
9/12/2022,tbsP2noglu_analyzed,tbsP+noglu,5,H26,WT,3,3,0.035,
9/12/2022,tbsP3glu_analyzed,tbsP+glu,6,H26,tbsP,1,2,0.395,
9/12/2022,tbsP3glu_analyzed,tbsP+glu,6,H26,tbsP,2,1,0.158,
9/12/2022,tbsP3glu_analyzed,tbsP+glu,6,H26,tbsP,3,5,0.194,
9/12/2022,tbsP3glu_analyzed,tbsP+glu,6,H26,WT,1,3,0.45,
9/12/2022,tbsP3glu_analyzed,tbsP+glu,6,H26,WT,2,6,0.327,
9/12/2022,tbsP3glu_analyzed,tbsP+glu,6,H26,WT,3,4,0.403,
9/12/2022,tbsP3noglu_analyzed,tbsP+noglu,6,H26,tbsP,1,2,0.474,
9/12/2022,tbsP3noglu_analyzed,tbsP+noglu,6,H26,tbsP,2,1,0.49,
9/12/2022,tbsP3noglu_analyzed,tbsP+noglu,6,H26,tbsP,3,5,0.784,
9/12/2022,tbsP3noglu_analyzed,tbsP+noglu,6,H26,WT,1,3,0.198,
9/12/2022,tbsP3noglu_analyzed,tbsP+noglu,6,H26,WT,2,6,0.342,
9/12/2022,tbsP3noglu_analyzed,tbsP+noglu,6,H26,WT,3,4,0.099,
9/12/2022,tbsP4noglu_analyzed,tbsP+noglu,7,H26,tbsP,1,1,0.512,
9/12/2022,tbsP4noglu_analyzed,tbsP+noglu,7,H26,tbsP,2,5,0.542,flipped
9/12/2022,tbsP4noglu_analyzed,tbsP+noglu,7,H26,tbsP,3,6,0.169,
9/12/2022,tbsP4noglu_analyzed,tbsP+noglu,7,H26,WT,1,3,0.073,
9/12/2022,tbsP4noglu_analyzed,tbsP+noglu,7,H26,WT,2,2,0.07,flipped
9/12/2022,tbsP4noglu_analyzed,tbsP+noglu,7,H26,WT,3,4,0.111,
10/9/2022,H26H53_glu1,H53+glu,1,H53,H53,1,1,0.588,
10/9/2022,H26H53_glu1,H53+glu,1,H53,H53,2,2,0.33,
10/9/2022,H26H53_glu1,H53+glu,1,H53,H53,3,5,0.434,
10/9/2022,H26H53_glu1,H53+glu,1,H53,H26,1,4,0.145,
10/9/2022,H26H53_glu1,H53+glu,1,H53,H26,2,6,0.195,
10/9/2022,H26H53_glu1,H53+glu,1,H53,H26,3,3,0.444,
10/9/2022,H26H53_glu2,H53+glu,2,H53,H53,1,1,0.523,
10/9/2022,H26H53_glu2,H53+glu,2,H53,H53,2,2,0.55,
10/9/2022,H26H53_glu2,H53+glu,2,H53,H26,1,4,0.411,
10/9/2022,H26H53_glu2,H53+glu,2,H53,H53,3,5,0.38,
10/9/2022,H26H53_glu2,H53+glu,2,H53,H26,2,6,0.382,
10/9/2022,H26H53_glu2,H53+glu,2,H53,H26,3,3,0.378,
10/9/2022,H26H53_glu3,H53+glu,3,H53,H53,1,1,0.588,
10/9/2022,H26H53_glu3,H53+glu,3,H53,H53,2,2,0.461,
10/9/2022,H26H53_glu3,H53+glu,3,H53,H53,3,5,0.301,
10/9/2022,H26H53_glu3,H53+glu,3,H53,H26,1,4,0.177,
10/9/2022,H26H53_glu3,H53+glu,3,H53,H26,2,6,0.371,
10/9/2022,H26H53_glu3,H53+glu,3,H53,H26,3,3,0.438,
10/9/2022,H26H53_glu4,H53+glu,4,H53,H53,1,2,0.616,
10/9/2022,H26H53_glu4,H53+glu,4,H53,H53,2,1,0.532,
10/9/2022,H26H53_glu4,H53+glu,4,H53,H53,3,5,0.421,
10/9/2022,H26H53_glu4,H53+glu,4,H53,H26,1,4,0.413,
10/9/2022,H26H53_glu4,H53+glu,4,H53,H26,2,6,0.403,
10/9/2022,H26H53_glu4,H53+glu,4,H53,H26,3,3,0.485,
10/9/2022,H26H53_glu5,H53+glu,5,H53,H53,1,1,0.535,
10/9/2022,H26H53_glu5,H53+glu,5,H53,H53,2,2,0.514,
10/9/2022,H26H53_glu5,H53+glu,5,H53,H53,3,5,0.33,
10/9/2022,H26H53_glu5,H53+glu,5,H53,H26,1,4,0.396,
10/9/2022,H26H53_glu5,H53+glu,5,H53,H26,2,6,0.507,
10/9/2022,H26H53_glu5,H53+glu,5,H53,H26,3,3,0.496,
10/9/2022,H26H53_noglu1,H53+noglu,1,H53,H53,1,1,0.645,
10/9/2022,H26H53_noglu1,H53+noglu,1,H53,H53,2,2,0.673,
10/9/2022,H26H53_noglu1,H53+noglu,1,H53,H53,3,5,0.615,
10/9/2022,H26H53_noglu1,H53+noglu,1,H53,H26,1,4,0.533,
10/9/2022,H26H53_noglu1,H53+noglu,1,H53,H26,2,6,0.36,
10/9/2022,H26H53_noglu1,H53+noglu,1,H53,H26,3,3,0.552,
10/9/2022,H26H53_noglu2,H53+noglu,2,H53,H53,1,2,0.498,
10/9/2022,H26H53_noglu2,H53+noglu,2,H53,H53,2,1,0.532,
10/9/2022,H26H53_noglu2,H53+noglu,2,H53,H53,3,5,0.634,
10/9/2022,H26H53_noglu2,H53+noglu,2,H53,H26,1,4,0.508,
10/9/2022,H26H53_noglu2,H53+noglu,2,H53,H26,2,6,0.648,
10/9/2022,H26H53_noglu2,H53+noglu,2,H53,H26,3,3,0.549,
10/9/2022,H26H53_noglu3,H53+noglu,3,H53,H53,1,1,0.536,
10/9/2022,H26H53_noglu3,H53+noglu,3,H53,H53,2,2,0.544,
10/9/2022,H26H53_noglu3,H53+noglu,3,H53,H53,3,5,0.649,
10/9/2022,H26H53_noglu3,H53+noglu,3,H53,H26,1,3,0.619,
10/9/2022,H26H53_noglu3,H53+noglu,3,H53,H26,2,6,0.589,
10/9/2022,H26H53_noglu3,H53+noglu,3,H53,H26,3,4,0.508,
10/9/2022,H26H53_noglu4,H53+noglu,4,H53,H53,1,3,0.459,flipped
10/9/2022,H26H53_noglu4,H53+noglu,4,H53,H53,2,6,0.475,flipped
10/9/2022,H26H53_noglu4,H53+noglu,4,H53,H53,3,4,0.513,flipped
10/9/2022,H26H53_noglu4,H53+noglu,4,H53,H26,1,2,0.707,flipped
10/9/2022,H26H53_noglu4,H53+noglu,4,H53,H26,2,1,0.623,flipped
10/9/2022,H26H53_noglu4,H53+noglu,4,H53,H26,3,5,0.457,flipped
10/9/2022,H26H53_noglu5,H53+noglu,5,H53,H53,1,1,0.694,
10/9/2022,H26H53_noglu5,H53+noglu,5,H53,H53,2,2,0.452,
10/9/2022,H26H53_noglu5,H53+noglu,5,H53,H53,3,6,0.43,
10/9/2022,H26H53_noglu5,H53+noglu,5,H53,H26,1,4,0.375,
10/9/2022,H26H53_noglu5,H53+noglu,5,H53,H26,2,5,0.564,
10/9/2022,H26H53_noglu5,H53+noglu,5,H53,H26,3,3,0.576,
10/9/2022,HV295_glu1,HV295+glu,1,H53,HV295,1,1,0.012,
10/9/2022,HV295_glu1,HV295+glu,1,H53,HV295,2,2,0.014,
10/9/2022,HV295_glu1,HV295+glu,1,H53,HV295,3,6,0.025,
10/9/2022,HV295_glu1,HV295+glu,1,H53,H53,1,3,0.988,
10/9/2022,HV295_glu1,HV295+glu,1,H53,H53,2,5,0.778,
10/9/2022,HV295_glu1,HV295+glu,1,H53,H53,3,4,0.62,
10/9/2022,HV295_glu2,HV295+glu,2,H53,HV295,1,1,0.011,
10/9/2022,HV295_glu2,HV295+glu,2,H53,HV295,2,2,0.018,
10/9/2022,HV295_glu2,HV295+glu,2,H53,HV295,3,6,0.016,
10/9/2022,HV295_glu2,HV295+glu,2,H53,H53,1,4,0.785,
10/9/2022,HV295_glu2,HV295+glu,2,H53,H53,2,5,0.693,
10/9/2022,HV295_glu2,HV295+glu,2,H53,H53,3,3,0.766,
10/9/2022,HV295_glu3,HV295+glu,3,H53,HV295,1,1,0.014,
10/9/2022,HV295_glu3,HV295+glu,3,H53,HV295,2,2,0.01,
10/9/2022,HV295_glu3,HV295+glu,3,H53,HV295,3,6,0.028,
10/9/2022,HV295_glu3,HV295+glu,3,H53,H53,1,3,0.821,
10/9/2022,HV295_glu3,HV295+glu,3,H53,H53,2,5,0.716,
10/9/2022,HV295_glu3,HV295+glu,3,H53,H53,3,4,0.511,
10/9/2022,HV295_glu4,HV295+glu,4,H53,HV295,1,1,0.018,
10/9/2022,HV295_glu4,HV295+glu,4,H53,HV295,2,2,0.016,
10/9/2022,HV295_glu4,HV295+glu,4,H53,HV295,3,6,0.014,
10/9/2022,HV295_glu4,HV295+glu,4,H53,H53,1,4,0.711,
10/9/2022,HV295_glu4,HV295+glu,4,H53,H53,2,5,0.711,
10/9/2022,HV295_glu4,HV295+glu,4,H53,H53,3,3,0.636,
10/9/2022,HV295_glu5,HV295+glu,5,H53,HV295,1,1,0.012,
10/9/2022,HV295_glu5,HV295+glu,5,H53,HV295,2,2,0.018,
10/9/2022,HV295_glu5,HV295+glu,5,H53,HV295,3,6,0.013,
10/9/2022,HV295_glu5,HV295+glu,5,H53,H53,1,4,0.571,
10/9/2022,HV295_glu5,HV295+glu,5,H53,H53,2,5,0.708,
10/9/2022,HV295_glu5,HV295+glu,5,H53,H53,3,3,0.646,
10/9/2022,HV295_glu6,HV295+glu,6,H53,HV295,1,1,0.014,
10/9/2022,HV295_glu6,HV295+glu,6,H53,HV295,2,2,0.017,
10/9/2022,HV295_glu6,HV295+glu,6,H53,HV295,3,7,0.015,
10/9/2022,HV295_glu6,HV295+glu,6,H53,H53,1,3,0.627,
10/9/2022,HV295_glu6,HV295+glu,6,H53,H53,2,6,0.659,
10/9/2022,HV295_glu6,HV295+glu,6,H53,H53,3,5,0.657,
10/9/2022,HV295_noglu1,HV295+noglu,1,H53,HV295,1,2,0.015,
10/9/2022,HV295_noglu1,HV295+noglu,1,H53,HV295,2,1,0.014,
10/9/2022,HV295_noglu1,HV295+noglu,1,H53,HV295,3,6,0.015,
10/9/2022,HV295_noglu1,HV295+noglu,1,H53,H53,1,3,0.748,
10/9/2022,HV295_noglu1,HV295+noglu,1,H53,H53,2,5,0.662,
10/9/2022,HV295_noglu1,HV295+noglu,1,H53,H53,3,4,0.582,
10/9/2022,HV295_noglu2,HV295+noglu,2,H53,HV295,1,2,0.015,
10/9/2022,HV295_noglu2,HV295+noglu,2,H53,HV295,2,1,0.021,
10/9/2022,HV295_noglu2,HV295+noglu,2,H53,HV295,3,6,0.025,
10/9/2022,HV295_noglu2,HV295+noglu,2,H53,H53,1,3,0.909,
10/9/2022,HV295_noglu2,HV295+noglu,2,H53,H53,2,5,0.773,
10/9/2022,HV295_noglu2,HV295+noglu,2,H53,H53,3,4,0.635,
10/9/2022,HV295_noglu3,HV295+noglu,3,H53,HV295,1,2,0.015,
10/9/2022,HV295_noglu3,HV295+noglu,3,H53,HV295,2,1,0.016,
10/9/2022,HV295_noglu3,HV295+noglu,3,H53,HV295,3,6,0.021,
10/9/2022,HV295_noglu3,HV295+noglu,3,H53,H53,1,3,0.875,
10/9/2022,HV295_noglu3,HV295+noglu,3,H53,H53,2,5,0.812,
10/9/2022,HV295_noglu3,HV295+noglu,3,H53,H53,3,4,0.636,
10/9/2022,HV295_noglu4,HV295+noglu,4,H53,HV295,1,2,0.012,
10/9/2022,HV295_noglu4,HV295+noglu,4,H53,HV295,2,1,0.019,
10/9/2022,HV295_noglu4,HV295+noglu,4,H53,HV295,3,6,0.022,
10/9/2022,HV295_noglu4,HV295+noglu,4,H53,H53,1,3,0.71,
10/9/2022,HV295_noglu4,HV295+noglu,4,H53,H53,2,5,0.727,
10/9/2022,HV295_noglu4,HV295+noglu,4,H53,H53,3,4,0.606,
10/9/2022,HV295_noglu5,HV295+noglu,5,H53,HV295,1,1,0.016,
10/9/2022,HV295_noglu5,HV295+noglu,5,H53,HV295,2,2,0.02,
10/9/2022,HV295_noglu5,HV295+noglu,5,H53,HV295,3,6,0.019,
10/9/2022,HV295_noglu5,HV295+noglu,5,H53,H53,1,3,0.686,
10/9/2022,HV295_noglu5,HV295+noglu,5,H53,H53,2,5,0.484,
10/9/2022,HV295_noglu5,HV295+noglu,5,H53,H53,3,4,0.436,
10/9/2022,HV295_noglu6,HV295+noglu,6,H53,HV295,1,2,0.016,
10/9/2022,HV295_noglu6,HV295+noglu,6,H53,HV295,2,1,0.016,
10/9/2022,HV295_noglu6,HV295+noglu,6,H53,HV295,3,6,0.017,
10/9/2022,HV295_noglu6,HV295+noglu,6,H53,H53,1,3,0.706,
10/9/2022,HV295_noglu6,HV295+noglu,6,H53,H53,2,5,0.632,
10/9/2022,HV295_noglu6,HV295+noglu,6,H53,H53,3,4,0.594,
10/9/2022,HV301_glu1,HV301+glu,1,H53,HV301,1,2,0.006,
10/9/2022,HV301_glu1,HV301+glu,1,H53,HV301,2,1,0.007,
10/9/2022,HV301_glu1,HV301+glu,1,H53,HV301,3,6,0.007,
10/9/2022,HV301_glu1,HV301+glu,1,H53,H53,1,3,0.893,
10/9/2022,HV301_glu1,HV301+glu,1,H53,H53,2,5,0.73,
10/9/2022,HV301_glu1,HV301+glu,1,H53,H53,3,4,0.534,
10/9/2022,HV301_glu2,HV301+glu,2,H53,HV301,1,1,0.004,
10/9/2022,HV301_glu2,HV301+glu,2,H53,HV301,2,2,0.006,
10/9/2022,HV301_glu2,HV301+glu,2,H53,HV301,3,6,0.004,
10/9/2022,HV301_glu2,HV301+glu,2,H53,H53,1,4,0.858,
10/9/2022,HV301_glu2,HV301+glu,2,H53,H53,2,5,0.7,
10/9/2022,HV301_glu2,HV301+glu,2,H53,H53,3,3,0.502,
10/9/2022,HV301_glu3,HV301+glu,3,H53,HV301,1,1,0.005,
