time ,pyrE,AKS182,AKS183,AKS184,AKS185
83.5,0.976542857,0.278542857,0.076542857,0.040542857,0.049542857
84,0.974828571,0.285828571,0.076828571,0.038828571,0.048828571
84.5,0.980157143,0.292157143,0.074157143,0.036157143,0.045157143
85,0.982428571,0.299428571,0.076428571,0.035428571,0.046428571
85.5,0.962514286,0.304514286,0.084514286,0.035514286,0.046514286
86,0.958942857,0.309942857,0.081942857,0.035942857,0.045942857
86.5,0.966814286,0.315814286,0.086814286,0.035814286,0.046814286
87,0.966042857,0.319042857,0.100042857,0.040042857,0.050042857
87.5,0.965814286,0.329814286,0.103814286,0.037814286,0.047814286
88,0.962685714,0.335685714,0.109685714,0.036685714,0.046685714
88.5,0.942642857,0.341642857,0.102642857,0.037642857,0.047642857
89,0.9693,0.3383,0.1183,0.0373,0.0483
89.5,0.951942857,0.343942857,0.122942857,0.036942857,0.046942857
90,0.969614286,0.348614286,0.130614286,0.035614286,0.048614286
90.5,0.941714286,0.352714286,0.148714286,0.036714286,0.048714286
91,0.951828571,0.367828571,0.158828571,0.037828571,0.047828571
91.5,0.955942857,0.364942857,0.162942857,0.034942857,0.047942857
92,0.940985714,0.370985714,0.173985714,0.035985714,0.048985714
92.5,0.958042857,0.362042857,0.183042857,0.036042857,0.049042857
93,0.9627,0.3717,0.1957,0.0357,0.0487
93.5,0.937414286,0.379414286,0.203414286,0.037414286,0.048414286
94,0.979285714,0.387285714,0.220285714,0.037285714,0.049285714
94.5,0.980614286,0.392614286,0.216614286,0.037614286,0.049614286
95,0.978428571,0.395428571,0.226428571,0.037428571,0.049428571
95.5,0.9594,0.4064,0.2444,0.0364,0.0484
96,0.982385714,0.400385714,0.249385714,0.035385714,0.048385714
96.5,0.974871429,0.410871429,0.248871429,0.034871429,0.047871429
97,0.968471429,0.403471429,0.276471429,0.035471429,0.048471429
97.5,0.974542857,0.416542857,0.286542857,0.036542857,0.049542857
98,0.970128571,0.421128571,0.294128571,0.036128571,0.049128571
98.5,0.974685714,0.430685714,0.318685714,0.037685714,0.051685714
99,0.969714286,0.429714286,0.321714286,0.035714286,0.050714286
99.5,0.971685714,0.435685714,0.332685714,0.037685714,0.051685714
100,0.971928571,0.438928571,0.351928571,0.035928571,0.050928571
100.5,0.978771429,0.443771429,0.352771429,0.037771429,0.048771429
101,0.982057143,0.445057143,0.380057143,0.036057143,0.049057143
101.5,0.956557143,0.443557143,0.390557143,0.036557143,0.052557143
102,0.962371429,0.453371429,0.391371429,0.035371429,0.053371429
102.5,0.975,0.458,0.413,0.037,0.053
103,0.962357143,0.466357143,0.425357143,0.037357143,0.054357143
103.5,0.9806,0.4616,0.4236,0.0366,0.0516
104,0.966771429,0.470771429,0.430771429,0.037771429,0.051771429
104.5,0.962271429,0.471271429,0.453271429,0.036271429,0.051271429
105,0.958585714,0.481585714,0.478585714,0.036585714,0.053585714
105.5,0.958971429,0.467971429,0.496971429,0.037971429,0.055971429
106,0.945242857,0.478242857,0.485242857,0.036242857,0.054242857
106.5,0.946771429,0.490771429,0.501771429,0.036771429,0.055771429
107,0.9624,0.4864,0.5074,0.0384,0.0574
107.5,0.955757143,0.486757143,0.533757143,0.041757143,0.060757143
108,0.9462,0.4992,0.5232,0.0412,0.0622
108.5,0.956628571,0.499628571,0.524628571,0.049628571,0.067628571
109,0.971528571,0.496528571,0.551528571,0.042528571,0.061528571
109.5,0.952485714,0.508485714,0.572485714,0.050485714,0.070485714
110,0.955514286,0.507514286,0.578514286,0.042514286,0.066514286
110.5,0.970385714,0.511385714,0.584385714,0.046385714,0.069385714
111,0.9781,0.5131,0.5801,0.0521,0.0791
111.5,0.960628571,0.518628571,0.602628571,0.050628571,0.080628571
112,0.949757143,0.532757143,0.603757143,0.048757143,0.077757143
